0FC1	NpcBanker	FULL_SPAWN	391.8514099121094	153.3668975830078	-1301.2379150390625	158	270	0	Р‘РЊР™РґС’4	184	Р‘РЊ}вЂ°вЂ¦в„–В­вЂўР™4В вЂ  	0 -- мартин иден (270)
14CF	NpcTrade	FULL_SPAWN	-3427.18603515625	-340.7356872558594	-608.11083984375	189	55	7	npc29a 	15	npc_trade_wpon 	11
14D0	NpcTrade	FULL_SPAWN	-3454.4541015625	-343.3168640136719	-888.441162109375	195	56	7	npc29c 	16	npc_trade_armor 	7
14D1	NpcTrade	FULL_SPAWN	-3427.31640625	-343.4267883300781	-949.71826171875	143	57	7	npc14b 	16	npc_trade_armor 	7
14D2	NpcTrade	FULL_SPAWN	-3381.145263671875	-339.4864501953125	-859.7418212890625	137	58	6	npc14 	16	npc_trade_magic 	9
14D6	NpcTrade	FULL_SPAWN	-3681.77734375	-342.2518615722656	1235.1888427734375	146	62	7	npc14b 	16	npc_trade_magic 	9
1521	NpcTrade	FULL_SPAWN	-2715.18310546875	403.1243896484375	2085.671630859375	0	20	6	npc08 	15	npc_trade_wpon 	11
1523	NpcTrade	FULL_SPAWN	1902.935546875	403.1004943847656	3284.812744140625	121	25	6	npc08 	15	npc_trade_wpon 	11
1524	NpcTrade	FULL_SPAWN	-2219.52392578125	407.3913269042969	1857.836181640625	0	30	6	npc08 	15	npc_trade_wpon 	11
1525	NpcTrade	FULL_SPAWN	1530.492919921875	409.81201171875	3390.947265625	36	31	6	npc08 	15	npc_trade_wpon 	11
1526	NpcTrade	FULL_SPAWN	-201.3938446044922	408.5315856933594	1805.3787841796875	180	32	6	npc08 	15	npc_trade_wpon 	11
1527	NpcTrade	FULL_SPAWN	-2709.443359375	404.1241455078125	2064.74267578125	241	21	7	npc29c 	16	npc_trade_armor 	7
1528	NpcTrade	FULL_SPAWN	1890.6171875	402.9206848144531	3297.46728515625	93	26	7	npc29c 	16	npc_trade_armor 	7
1529	NpcTrade	FULL_SPAWN	-2220.186279296875	407.1214294433594	1864.696533203125	183	39	7	npc29c 	16	npc_trade_armor 	7
152A	NpcTrade	FULL_SPAWN	1528.8720703125	409.8049011230469	3398.708984375	107	40	7	npc29c 	16	npc_trade_armor 	7
152B	NpcTrade	FULL_SPAWN	-193.9072723388672	408.0733642578125	1807.56396484375	25	41	7	npc29c 	16	npc_trade_armor 	7
152C	NpcTrade	FULL_SPAWN	-2676.347412109375	404.7138977050781	2082.258544921875	0	22	7	npc14b 	16	npc_trade_alchm 	6
152D	NpcTrade	FULL_SPAWN	1888.38037109375	404.095947265625	3266.7529296875	213	27	7	npc14b 	16	npc_trade_alchm 	6
152E	NpcTrade	FULL_SPAWN	-2601.809814453125	408.0997619628906	2673.22998046875	240	33	7	npc14b 	16	npc_trade_alchm 	6
152F	NpcTrade	FULL_SPAWN	1586.017333984375	407.9490051269531	2726.1181640625	128	34	7	npc14b 	16	npc_trade_alchm 	6
1530	NpcTrade	FULL_SPAWN	-780.2511596679688	405.9869689941406	2928.06640625	0	35	7	npc14b 	16	npc_trade_alchm 	6
1531	NpcTrade	FULL_SPAWN	-2691.69091796875	402.8743591308594	2092.396728515625	78	23	6	npc14 	16	npc_trade_magic 	9
1532	NpcTrade	FULL_SPAWN	1899.8375244140625	403.1542663574219	3287.70751953125	107	28	6	npc14 	16	npc_trade_magic 	9
1533	NpcTrade	FULL_SPAWN	-2594.39453125	407.76348876953125	2676.6923828125	23	36	6	npc14 	16	npc_trade_magic 	9
1534	NpcTrade	FULL_SPAWN	1584.616455078125	407.9823303222656	2719.7255859375	179	37	6	npc14 	16	npc_trade_magic 	9
1535	NpcTrade	FULL_SPAWN	-785.7922973632812	406.3497314453125	2929.548095703125	55	38	6	npc14 	16	npc_trade_magic 	9
1536	NpcTrade	FULL_SPAWN	-2703.824462890625	402.8091735839844	2125.4560546875	147	24	7	npc29b 	16	npc_trade_travl 	10
1537	NpcTrade	FULL_SPAWN	1885.2066650390625	402.8136901855469	3289.574951171875	238	29	7	npc29b 	16	npc_trade_travl 	10
1538	NpcTrade	FULL_SPAWN	1290.2901611328125	402.1930847167969	3711.35595703125	128	319	6	npc08 	16	npc_trade_travl 	10
1539	NpcTrade	FULL_SPAWN	-712.8682861328125	402.7651062011719	3490.944091796875	192	320	6	npc08 	16	npc_trade_travl 	10
153A	NpcTrade	FULL_SPAWN	2715.90673828125	366.21435546875	3312.74169921875	0	321	6	npc08 	16	npc_trade_travl 	10
153B	NpcTrade	FULL_SPAWN	-2507.21728515625	402.4445495605469	3087.9404296875	64	322	6	npc08 	16	npc_trade_travl 	10
153C	NpcTrade	FULL_SPAWN	-692.2739868164062	402.8757629394531	2687.9716796875	0	323	6	npc08 	16	npc_trade_travl 	10
153D	NpcTrade	FULL_SPAWN	481.44183349609375	402.7747802734375	2705.616455078125	64	324	6	npc08 	16	npc_trade_travl 	10
153E	NpcTrade	FULL_SPAWN	1292.70947265625	402.23614501953125	2308.1845703125	0	325	6	npc08 	16	npc_trade_travl 	10
153F	NpcTrade	FULL_SPAWN	-3107.455322265625	366.0462341308594	2118.465087890625	0	326	6	npc08 	16	npc_trade_travl 	10
1540	NpcTrade	FULL_SPAWN	-1481.5126953125	402.62774658203125	1903.5208740234375	0	327	6	npc08 	16	npc_trade_travl 	10
1541	NpcTrade	FULL_SPAWN	-305.019287109375	402.4014587402344	1285.63330078125	0	328	6	npc08 	16	npc_trade_travl 	10
1542	NpcTrade	FULL_SPAWN	-2589.50390625	-96.42103576660156	-318.1850891113281	234	329	6	npc08 	16	npc_trade_travl 	10
1543	NpcTrade	FULL_SPAWN	-1392.27392578125	-96.52418518066406	687.9716796875	0	330	6	npc08 	16	npc_trade_travl 	10
1544	NpcTrade	FULL_SPAWN	-608.4700317382812	-97.09847259521484	-291.3999328613281	0	331	6	npc08 	16	npc_trade_travl 	10
1545	NpcTrade	FULL_SPAWN	-1997.2186279296875	-106.89212799072266	484.4150390625	222	42	6	npc08 	15	npc_trade_wpon 	11
1546	NpcTrade	FULL_SPAWN	-1972.2216796875	-108.23899841308594	483.4974365234375	159	43	7	npc29c 	16	npc_trade_armor 	7
1547	NpcTrade	FULL_SPAWN	-1959.889892578125	-118.68285369873047	524.8479614257812	104	44	7	npc14b 	16	npc_trade_armor 	7
1548	NpcTrade	FULL_SPAWN	-1966.7108154296875	-118.75594329833984	524.8615112304688	149	45	7	npc14a 	16	npc_trade_magic 	9
1549	NpcTrade	FULL_SPAWN	-1965.198974609375	-107.06504821777344	456.6587219238281	211	46	7	npc29b 	16	npc_trade_travl 	10
154A	NpcTrade	FULL_SPAWN	-1502.5166015625	1102.708984375	-3904.677734375	177	206	7	npc29c 	16	npc_tavernkeepr 	5
154B	NpcTrade	FULL_SPAWN	-2287.706298828125	-90.18433380126953	490.7005920410156	26	47	7	npc29a 	15	npc_trade_wpon 	11
154C	NpcTrade	FULL_SPAWN	-2292.2255859375	-90.2630386352539	489.8593444824219	251	48	7	npc29c 	16	npc_trade_armor 	7
154D	NpcTrade	FULL_SPAWN	-1897.728271484375	-89.6763687133789	-916.4476318359375	36	51	7	npc29b 	15	npc_trade_wpon 	11
154E	NpcTrade	FULL_SPAWN	-1908.5673828125	-90.83885955810547	-913.7593383789062	217	52	7	npc29c 	16	npc_trade_armor 	7
154F	NpcTrade	FULL_SPAWN	-323.419189453125	-89.5898208618164	-801.724609375	209	53	7	npc14b 	16	npc_trade_armor 	7
1550	NpcTrade	FULL_SPAWN	-319.8937072753906	-89.4164810180664	-803.8489990234375	6	54	7	npc14b 	16	npc_trade_magic 	9
1551	NpcTrade	FULL_SPAWN	-3392.27392578125	-345.37841796875	-112.02825927734375	0	332	6	npc08 	16	npc_trade_travl 	10
1552	NpcTrade	FULL_SPAWN	-2384.7041015625	-345.5288391113281	-1299.9310302734375	64	333	6	npc08 	16	npc_trade_travl 	10
1553	NpcTrade	FULL_SPAWN	-3602.28759765625	-345.63037109375	-2094.125732421875	192	334	6	npc08 	16	npc_trade_travl 	10
1555	NpcTrade	FULL_SPAWN	-2592.27392578125	-346.4242248535156	-2112.0283203125	0	336	6	npc08 	16	npc_trade_travl 	10
155A	NpcTrade	FULL_SPAWN	-1967.617431640625	-109.53333282470703	455.5337219238281	27	67	7	npc29b 	16	npc_trade_travl 	10
1560	NpcTrade	FULL_SPAWN	-1817.23046875	-340.0345458984375	-1498.9967041015625	34	60	7	npc29c 	16	npc_trade_armor 	7
1561	NpcTrade	FULL_SPAWN	-1691.2529296875	-340.9075927734375	-1332.848388671875	101	61	7	npc14b 	16	npc_trade_armor 	7
